cell_id,latitude,longitude,geology_class,lithology,host_rock,metallogenesis,morphogenesis,fault_distance_km,lineament_distance_km,contact_distance_km,elevation_m,slope_deg,aspect_deg,ndvi,bsi,swir1,swir2,mn_occurrence,synthetic_demo
GRID_0371,21.185661,80.113208,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,2.506,1.951,0.873,348.95,12.13,319.12,0.6055,0.2876,0.2787,0.1551,1,1
GRID_0372,21.115489,80.383846,Granite,Granite,Granite,Other,Mixed Terrain,2.523,1.276,0.766,404.71,11.76,266.01,0.7011,0.0914,0.2912,0.249,0,1
GRID_0373,21.180277,80.16949,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,0.969,2.756,0.837,467.75,1.29,175.42,0.2096,0.2871,0.2966,0.04,1,1
GRID_0374,21.680556,79.801904,Granite,Granite,Granite,Other,Mixed Terrain,0.723,1.161,1.967,485.42,7.58,29.67,0.5526,0.1801,0.1662,0.2268,0,1
GRID_0375,21.16051,80.142153,Granite,Granite,Granite,Other,Mixed Terrain,6.935,0.372,3.704,520.95,13.35,262.96,0.3017,0.0974,0.2533,0.1744,0,1
GRID_0376,21.371129,79.585534,Granite,Granite,Granite,Other,Mixed Terrain,3.851,1.34,0.553,367.86,1.64,142.87,0.5047,0.2301,0.1909,0.1868,0,1
GRID_0377,21.818144,79.628839,Granite,Granite,Granite,Other,Mixed Terrain,1.959,0.996,3.163,350.75,2.2,205.28,0.2061,0.1498,0.1869,0.1599,0,1
GRID_0378,21.119781,80.304579,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,2.369,3.899,1.891,343.32,10.51,105.62,0.5549,0.0906,0.2323,0.2154,1,1
GRID_0379,21.792298,79.824987,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.693,0.542,0.539,413.25,13.17,87.18,0.4984,0.176,0.2105,0.0692,1,1
GRID_0380,21.339577,80.317732,Granite,Granite,Granite,Other,Mixed Terrain,2.736,0.569,1.755,448.21,6.88,116.75,0.5623,0.1779,0.1675,0.1354,0,1
GRID_0381,21.20044,80.351391,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,2.665,0.889,0.977,461.45,6.12,292.98,0.5336,0.1132,0.2625,0.2976,1,1
GRID_0382,21.692227,80.400587,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,2.737,1.408,3.644,309.78,1.2,153.54,0.4599,0.0659,0.2784,0.1838,0,1
GRID_0383,21.634601,80.483289,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.062,5.764,0.558,348.96,6.81,112.21,0.5561,0.1926,0.1797,0.1091,0,1
GRID_0384,21.845851,79.803379,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,3.415,1.045,1.882,370.28,2.11,155.87,0.3587,0.2089,0.2271,0.1837,0,1
GRID_0385,21.72481,79.646414,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,2.495,2.59,0.307,579.4,6.58,11.62,0.5221,0.236,0.2283,0.2248,1,1
GRID_0386,21.782959,80.015078,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.657,1.745,1.071,397.61,13.24,320.62,0.3416,0.2315,0.2294,0.1858,0,1
GRID_0387,21.339729,79.719641,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,0.089,2.096,3.132,304.48,2.82,198.63,0.53,0.3647,0.236,0.1732,1,1
GRID_0388,21.250824,80.041504,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,1.354,2.41,3.286,462.43,6.99,37.74,0.3994,0.0277,0.2602,0.1446,0,1
GRID_0389,21.738023,80.18782,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,3.8,4.203,0.485,420.77,11.44,103.83,0.5082,0.4021,0.3217,0.1041,1,1
GRID_0390,21.78581,80.163767,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,2.632,0.957,0.225,330.13,4.9,354.08,0.3841,-0.0073,0.2491,0.0678,1,1
GRID_0391,21.941929,79.724374,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,4.623,1.355,0.97,389.74,9.63,213.5,0.3872,0.3547,0.2043,0.1301,1,1
GRID_0392,21.450725,79.433604,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,3.511,3.017,1.84,400.98,11.24,104.91,0.3943,0.2502,0.2392,0.2588,1,1
GRID_0393,21.416215,79.802741,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.32,2.173,0.683,419.53,8.31,153.48,0.217,0.1078,0.1656,0.1545,0,1
GRID_0394,21.759951,79.399632,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,3.604,0.181,0.675,509.05,8.4,93.05,0.5685,-0.1589,0.1772,0.1702,1,1
GRID_0395,21.389683,80.446136,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,0.268,0.498,2.052,477.64,3.61,11.45,0.4374,-0.0293,0.2703,0.0886,1,1
GRID_0396,21.891144,79.684228,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,5.197,2.405,0.348,440.63,6.4,303.13,0.2237,0.0913,0.05,0.1804,1,1
GRID_0397,21.829651,79.416244,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,1.014,0.681,1.138,513.82,8.65,105.29,0.3431,0.2424,0.2248,0.1558,1,1
GRID_0398,21.464645,79.235627,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,0.995,0.969,1.686,395.17,0.39,301.83,0.3342,0.1052,0.305,0.16,1,1
GRID_0399,21.73824,80.104151,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,4.497,2.575,0.604,368.36,0.2,172.28,0.4939,0.1746,0.2683,0.1443,1,1
GRID_0400,21.741361,80.091663,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.232,4.179,0.599,456.24,7.39,65.84,0.3965,0.1189,0.3002,0.1452,1,1
GRID_0401,21.187655,79.676846,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,0.564,4.913,4.216,449.68,9.52,288.67,0.5751,0.2036,0.2635,0.1654,1,1
GRID_0402,21.86717,79.300397,Granite,Granite,Granite,Other,Mixed Terrain,1.495,1.485,2.541,304.55,8.35,135.76,0.2388,-0.0137,0.3794,0.1781,0,1
GRID_0403,21.529465,79.77348,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,0.05,3.066,0.646,556.92,1.52,254.78,0.4994,0.143,0.1538,0.0444,1,1
GRID_0404,21.802489,79.635704,Granite,Granite,Granite,Other,Mixed Terrain,3.098,3.33,0.349,343.41,12.41,301.4,0.4867,0.2537,0.2481,0.0791,0,1
GRID_0405,21.372042,80.147969,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,3.088,1.12,0.726,475.01,8.41,346.67,0.3628,0.5337,0.2909,0.1484,1,1
GRID_0406,21.861195,80.048091,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.632,2.872,1.694,476.98,11.88,30.89,0.4707,0.298,0.2105,0.2353,0,1
GRID_0407,21.430821,79.710431,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,6.025,2.719,1.089,250.0,5.45,3.02,0.4241,0.1541,0.3225,0.095,1,1
GRID_0408,21.109212,79.50505,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,0.487,2.557,0.509,449.31,9.06,197.43,0.6233,0.0906,0.2823,0.2148,1,1
GRID_0409,21.869575,80.58325,Granite,Granite,Granite,Other,Mixed Terrain,1.915,2.564,1.804,569.18,10.08,95.13,0.4436,0.244,0.1356,0.2794,0,1
GRID_0410,21.177594,79.835602,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.654,4.217,0.382,369.64,12.02,168.88,0.612,0.0627,0.2653,0.164,0,1
GRID_0411,21.371417,80.163584,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,1.032,0.317,1.536,268.68,11.68,26.16,0.5634,0.2002,0.2826,0.1531,1,1
GRID_0412,21.907553,79.396774,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,0.431,1.31,4.358,420.04,4.8,180.57,0.2307,0.2243,0.3543,0.2123,0,1
GRID_0413,21.908016,79.879826,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.732,4.073,1.329,469.61,7.54,44.95,0.4166,0.1524,0.2274,0.1865,0,1
GRID_0414,21.587422,79.238551,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,3.153,0.386,1.381,422.59,5.91,301.89,0.5631,0.3161,0.2791,0.1427,0,1
GRID_0415,21.637062,79.907637,Granite,Granite,Granite,Other,Mixed Terrain,0.549,0.244,0.541,349.22,8.57,273.42,0.4691,0.1668,0.258,0.1964,0,1
GRID_0416,21.481179,80.549624,Granite,Granite,Granite,Other,Mixed Terrain,0.574,0.524,0.969,342.43,2.25,26.67,0.4431,0.117,0.2006,0.1388,0,1
GRID_0417,21.349229,79.737889,Granite,Granite,Granite,Other,Mixed Terrain,5.428,4.063,0.752,292.12,1.64,301.09,0.453,0.1086,0.2156,0.2626,0,1
GRID_0418,21.379365,79.254594,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,4.649,2.104,1.37,270.63,17.54,116.99,0.5271,-0.0008,0.0865,0.1671,1,1
GRID_0419,21.671641,79.243338,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.575,4.292,0.716,400.84,15.74,127.03,0.3681,-0.019,0.2069,0.2054,1,1
GRID_0420,21.739518,79.743181,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,6.139,1.506,0.772,466.04,12.66,64.73,0.3842,0.2639,0.35,0.2799,1,1
GRID_0421,21.772842,79.424035,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,4.291,3.236,2.432,443.53,9.94,300.71,0.5642,0.387,0.2279,0.1692,1,1
GRID_0422,21.771175,79.232693,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,9.471,1.779,1.2,451.33,11.1,145.69,0.4633,0.4808,0.2991,0.1349,1,1
GRID_0423,21.177525,80.258699,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.974,2.641,1.963,483.71,11.11,17.58,0.4018,0.3365,0.2559,0.1457,0,1
GRID_0424,21.520257,79.841932,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,4.494,0.729,4.82,541.2,14.62,347.85,0.4358,0.2529,0.2697,0.1798,1,1
GRID_0425,21.148925,79.604943,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,5.19,2.172,1.457,432.35,6.03,92.12,0.5119,0.2231,0.3796,0.1714,1,1
GRID_0426,21.5671,80.460116,Granite,Granite,Granite,Other,Mixed Terrain,0.676,2.328,4.068,459.3,4.97,337.02,0.4272,0.3634,0.2114,0.1693,0,1
GRID_0427,21.475301,79.362595,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,1.471,2.484,1.237,459.87,7.94,108.45,0.4556,0.1284,0.2109,0.201,1,1
GRID_0428,21.854549,80.538286,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,3.744,7.534,1.939,442.52,10.38,299.31,0.1557,0.4321,0.3161,0.1873,1,1
GRID_0429,21.398278,79.639553,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,2.187,2.71,2.488,431.63,6.98,239.12,0.469,0.1744,0.2344,0.1523,1,1
GRID_0430,21.199507,80.443765,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,1.576,6.14,0.936,438.53,5.79,310.06,0.4092,0.2163,0.2209,0.1806,0,1
GRID_0431,21.221543,80.04412,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,5.162,0.8,1.717,562.73,13.75,351.4,0.5772,0.1835,0.3068,0.1386,0,1
GRID_0432,21.747284,80.35739,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.051,1.725,0.897,551.76,4.65,313.73,0.422,0.3375,0.2581,0.151,0,1
GRID_0433,21.625485,80.577618,Granite,Granite,Granite,Other,Mixed Terrain,1.48,0.166,1.609,284.89,13.87,145.32,0.6672,0.1784,0.2294,0.04,0,1
GRID_0434,21.185954,79.603768,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,3.213,0.58,0.66,448.58,11.85,293.22,0.5279,0.2367,0.2161,0.13,1,1
GRID_0435,21.171491,80.54559,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,3.494,1.048,0.45,430.59,15.65,256.19,0.3109,0.0093,0.181,0.2289,1,1
GRID_0436,21.695824,79.745275,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,0.483,5.189,0.614,537.11,16.73,22.18,0.2325,0.1529,0.1316,0.2177,1,1
GRID_0437,21.161849,79.739717,Granite,Granite,Granite,Other,Mixed Terrain,4.083,4.671,0.983,426.96,9.48,334.71,0.4168,0.3266,0.3178,0.2239,0,1
GRID_0438,21.798581,79.676542,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,1.456,2.261,1.252,451.38,16.31,167.75,0.4346,0.0617,0.2103,0.2055,0,1
GRID_0439,21.700306,79.957971,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,2.274,1.054,2.456,374.76,10.02,48.4,0.1584,0.1762,0.1207,0.1509,0,1
GRID_0440,21.169146,79.415803,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,3.53,0.874,4.069,499.14,9.58,153.14,0.4217,0.1744,0.3648,0.1041,0,1
GRID_0441,21.172112,79.975196,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,0.944,1.864,0.797,324.27,8.78,217.13,0.3773,0.0982,0.2461,0.161,1,1
GRID_0442,21.938644,79.958387,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,5.629,2.925,0.469,404.05,6.26,206.26,0.4622,0.3226,0.2416,0.04,1,1
GRID_0443,21.41813,80.266663,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,0.843,4.11,2.965,340.39,11.04,206.93,0.7528,0.2493,0.1289,0.2485,1,1
GRID_0444,21.415046,80.36711,Granite,Granite,Granite,Other,Mixed Terrain,1.028,3.086,2.287,404.42,12.6,92.1,0.1628,0.3063,0.2807,0.1923,0,1
GRID_0445,21.79088,79.816618,Granite,Granite,Granite,Other,Mixed Terrain,1.951,0.274,0.946,383.34,2.41,227.77,0.5812,0.3272,0.2028,0.2313,1,1
GRID_0446,21.905161,79.623267,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,4.671,1.346,1.246,501.14,18.24,326.67,0.5077,0.1843,0.203,0.1492,0,1
GRID_0447,21.938101,79.563069,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,2.465,0.398,0.692,411.39,14.5,139.92,0.3505,0.4004,0.269,0.0836,0,1
GRID_0448,21.740371,79.472473,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,2.639,2.809,2.994,556.8,5.67,227.01,0.4339,0.0097,0.2485,0.1911,0,1
GRID_0449,21.419821,79.280707,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,0.897,4.027,1.477,409.52,10.25,87.84,0.5762,0.159,0.172,0.1903,1,1
GRID_0450,21.170976,79.679427,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,2.099,1.962,0.819,337.97,7.83,17.38,0.4478,0.2009,0.1403,0.1718,0,1
GRID_0451,21.760575,79.578347,Granite,Granite,Granite,Other,Mixed Terrain,1.651,1.991,1.571,409.37,9.33,210.86,0.1202,-0.0635,0.2516,0.1971,0,1
GRID_0452,21.574644,80.552984,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.098,0.61,1.628,470.53,7.46,17.12,0.4883,0.3781,0.2455,0.1513,0,1
GRID_0453,21.460589,79.980792,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,2.955,2.849,3.303,573.36,10.09,260.49,0.5455,0.0584,0.4224,0.1919,1,1
GRID_0454,21.870401,79.686188,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,2.651,4.532,2.314,375.19,3.72,241.33,0.3639,0.1895,0.0826,0.2081,1,1
GRID_0455,21.194518,80.012655,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,4.5,2.597,0.313,570.99,16.76,132.96,0.5682,0.2857,0.2503,0.2805,0,1
GRID_0456,21.518731,79.394875,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,2.165,1.529,2.611,413.86,4.03,148.06,0.5808,0.5045,0.1264,0.2259,0,1
GRID_0457,21.109651,79.821661,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.199,3.474,0.687,392.16,10.21,330.39,0.6389,-0.0531,0.211,0.1056,0,1
GRID_0458,21.498362,80.076728,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,3.275,1.782,2.762,495.93,5.29,4.73,0.5905,0.2635,0.2101,0.1566,0,1
GRID_0459,21.147858,79.884457,Granite,Granite,Granite,Other,Mixed Terrain,3.884,1.061,0.226,550.99,7.38,202.79,0.8372,0.1414,0.2779,0.1287,0,1
GRID_0460,21.200995,79.76249,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,5.04,0.742,2.516,477.36,9.85,332.41,0.6166,0.2707,0.2799,0.2623,0,1
GRID_0461,21.199897,80.591388,Granite,Granite,Granite,Other,Mixed Terrain,0.755,2.262,1.56,309.73,8.39,329.04,0.4572,0.3112,0.3355,0.1506,0,1
GRID_0462,21.651829,80.432441,Granite,Granite,Granite,Other,Mixed Terrain,1.837,1.808,1.915,458.31,8.52,210.48,0.5582,0.2386,0.2573,0.1642,0,1
GRID_0463,21.734138,80.072768,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,5.167,5.79,2.515,614.85,6.53,137.24,0.4511,0.1911,0.309,0.1733,1,1
GRID_0464,21.595863,79.997128,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,2.349,0.895,1.093,250.0,5.23,35.61,0.3903,0.032,0.3363,0.2042,1,1
GRID_0465,21.917847,80.068925,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.984,1.033,0.781,461.74,10.65,62.56,0.2634,0.042,0.2581,0.1086,1,1
GRID_0466,21.41864,79.481837,Granite,Granite,Granite,Other,Mixed Terrain,0.931,0.143,1.242,405.81,4.58,244.68,0.4109,0.2928,0.3222,0.1794,0,1
GRID_0467,21.342855,79.753193,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,1.041,3.416,0.656,350.45,5.4,5.99,0.5733,0.0597,0.2549,0.2363,0,1
GRID_0468,21.838309,79.255243,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,6.107,1.713,1.194,517.84,5.45,318.05,0.3017,0.2396,0.2395,0.1603,1,1
GRID_0469,21.290056,79.865764,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,8.56,1.119,0.619,282.29,6.67,211.66,0.4971,0.3623,0.1949,0.2897,1,1
GRID_0470,21.918739,79.960234,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,1.198,2.121,1.872,400.23,2.32,16.25,0.3763,-0.0017,0.2667,0.1269,1,1
GRID_0471,21.110331,79.51885,Other Metasedimentary,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,1.498,3.667,1.097,515.1,2.38,86.32,0.4383,0.3628,0.264,0.1497,1,1
GRID_0472,21.924397,80.54964,Other Metasedimentary,Phyllite,Phyllite,Stratiform/Stratabound,Metamorphic Terrain,6.608,4.384,2.416,505.38,10.17,213.91,0.4294,0.358,0.2649,0.2265,1,1
GRID_0473,21.136686,80.473236,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,3.287,2.726,0.659,480.7,10.22,12.82,0.4696,0.228,0.3198,0.182,0,1
GRID_0474,21.857472,80.211001,Granite,Granite,Granite,Other,Mixed Terrain,0.94,0.801,0.748,444.69,9.24,280.8,0.8013,0.0939,0.3035,0.1663,0,1
GRID_0475,21.548546,79.946741,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.761,0.765,2.404,419.46,13.5,331.17,0.3559,0.2545,0.1368,0.1128,1,1
GRID_0476,21.94402,80.417957,Granite,Granite,Granite,Other,Mixed Terrain,1.853,2.879,0.515,390.03,4.47,346.04,0.4335,0.1551,0.1381,0.145,0,1
GRID_0477,21.162727,79.382913,Granite,Granite,Granite,Other,Mixed Terrain,3.322,0.884,0.364,347.44,1.1,264.12,0.4051,0.0809,0.2486,0.2898,0,1
GRID_0478,21.570776,80.306714,Granite,Granite,Granite,Other,Mixed Terrain,2.45,2.344,0.749,499.13,11.14,308.46,0.1994,0.1994,0.1717,0.1992,0,1
GRID_0479,21.923907,79.374749,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.554,2.226,1.9,447.93,1.01,219.85,0.5771,0.0574,0.2333,0.2146,0,1
GRID_0480,21.544633,80.311895,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.751,0.417,1.097,501.65,7.45,165.08,0.3062,0.0144,0.1762,0.1426,1,1
GRID_0481,21.634989,79.586075,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,2.306,1.339,2.696,363.59,9.11,256.73,0.6591,0.1039,0.2468,0.1917,1,1
GRID_0482,21.691386,80.427927,Granite,Granite,Granite,Other,Mixed Terrain,0.413,0.091,1.637,361.74,16.24,80.71,0.314,-0.0609,0.1687,0.1634,0,1
GRID_0483,21.48636,80.521659,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.564,1.386,2.859,472.21,5.81,39.52,0.5009,0.3478,0.2681,0.1052,1,1
GRID_0484,21.633424,79.408314,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,3.224,4.703,1.804,250.0,6.11,274.27,0.7167,0.2523,0.1651,0.1359,0,1
GRID_0485,21.596667,79.847746,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,1.163,1.826,0.161,250.0,10.64,344.95,0.5122,0.0595,0.2495,0.1488,1,1
GRID_0486,21.865984,80.573382,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,2.114,0.896,1.365,516.12,10.41,207.89,0.3453,0.1086,0.1219,0.3057,0,1
GRID_0487,21.138629,79.87677,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,1.405,4.824,0.617,369.89,6.63,173.72,0.2964,0.2862,0.1609,0.2922,1,1
GRID_0488,21.338819,80.408967,Granite,Granite,Granite,Other,Mixed Terrain,3.958,1.275,1.379,446.41,8.74,192.39,0.088,0.3582,0.2894,0.0796,0,1
GRID_0489,21.90785,80.024224,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,2.551,1.964,0.299,462.27,5.05,172.25,0.3794,0.195,0.3297,0.1304,1,1
GRID_0490,21.856724,79.725462,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.788,2.817,4.791,517.99,9.79,159.19,0.2119,0.1439,0.3038,0.1691,0,1
GRID_0491,21.487308,79.600097,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,7.446,3.554,0.447,392.6,1.63,340.93,0.4341,-0.0487,0.293,0.1816,0,1
GRID_0492,21.627113,79.484512,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.136,4.84,2.029,397.25,19.63,172.71,0.3704,0.135,0.3437,0.1721,0,1
GRID_0493,21.335774,80.266517,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,3.247,1.52,1.188,377.69,10.88,29.2,0.4544,0.0207,0.3076,0.291,0,1
GRID_0494,21.259903,79.741157,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,3.866,1.323,0.453,482.79,3.59,275.59,0.2543,0.0165,0.1328,0.1517,0,1
GRID_0495,21.494144,79.915786,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,10.0,2.395,1.153,486.57,6.93,140.96,0.3541,0.3526,0.3067,0.289,0,1
GRID_0496,21.400349,79.889256,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,3.315,3.122,2.952,538.65,3.79,255.85,0.5216,0.1636,0.3056,0.2377,1,1
GRID_0497,21.596108,80.008191,Granite,Granite,Granite,Other,Mixed Terrain,1.022,2.377,0.898,324.05,4.73,208.64,0.4849,0.1997,0.1089,0.1762,0,1
GRID_0498,21.166074,80.411808,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,1.413,1.148,1.569,619.87,8.85,256.74,0.144,0.2369,0.1929,0.1413,0,1
GRID_0499,21.928236,80.573035,Sausar Group,Schist,Schist,Stratiform/Stratabound,Metamorphic Terrain,2.205,5.053,2.717,403.44,13.57,22.32,0.5615,0.1551,0.3505,0.1404,1,1
GRID_0500,21.938279,79.770618,Granite,Granite,Granite,Other,Mixed Terrain,2.065,2.752,1.693,425.89,7.6,12.19,0.2648,0.1895,0.2309,0.2966,0,1
GRID_0501,21.693437,80.358526,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,0.894,6.315,1.749,443.89,0.44,136.27,0.1871,0.1827,0.1601,0.2233,0,1
GRID_0502,21.555682,80.270339,Granite,Granite,Granite,Other,Mixed Terrain,10.0,7.41,0.327,352.58,5.54,249.54,0.3963,0.1203,0.3005,0.1977,0,1
GRID_0503,21.363098,80.002941,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,4.119,0.502,1.561,395.01,5.81,80.53,0.8187,0.2183,0.2207,0.0483,1,1
GRID_0504,21.791726,80.538466,Sausar Group,Mica Schist,Mica Schist,Stratiform/Stratabound,Metamorphic Terrain,5.251,2.097,1.293,554.15,8.36,156.02,0.3782,0.1676,0.213,0.1503,0,1
GRID_0505,21.682021,79.480664,Granite,Granite,Granite,Other,Mixed Terrain,8.454,0.973,3.208,555.48,7.44,353.09,0.4473,0.1924,0.3012,0.1578,0,1
GRID_0506,21.238224,79.35297,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,3.803,2.394,5.297,447.43,0.2,77.35,0.5413,0.1806,0.2683,0.1931,0,1
GRID_0507,21.874288,80.395547,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,2.559,1.01,1.484,518.72,4.3,305.26,0.2923,0.4538,0.2317,0.1718,0,1
GRID_0508,21.799157,79.81481,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,6.135,0.426,4.568,464.92,3.57,297.17,0.4806,0.3186,0.2632,0.157,1,1
GRID_0509,21.90733,80.385756,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,2.6,3.624,0.904,425.14,11.59,320.89,0.2992,0.2886,0.2278,0.1993,0,1
GRID_0510,21.716862,80.450326,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.702,3.915,2.904,365.93,6.86,329.45,0.5199,0.2458,0.304,0.234,1,1
